"","id","ind","press","model_type","corrstruc","aic","edf","p_val","signif_code","r_sq","expl_dev","nrmse","ks_test","tac","prop","adj_n_boot","interaction"
"41",41,"rZPPP","Fher","gam","none",74.7998980954541,1.00000000003816,0.365152064103469," ",-0.00578031980779259,0.0329035386476455,0.872793424519505,0.7533,FALSE,NA,NA,NA
"42",42,"rZPPP","Fcod","gam","none",72.3047637966655,1.86118296319157,0.198893915688151," ",0.108977339797783,0.172760270374167,0.698699831971469,0.9543,FALSE,NA,NA,NA
"43",43,"Sprat","Tsum","gamm","ar1",64.5507976951763,1.00000003099383,0.16695737379656," ",0.0431101258439361,NA,0.863856919065958,0.9699,FALSE,NA,NA,NA
"44",44,"Sprat","Swin","gamm","ar1",64.9291940860396,1.17126686982301,0.244922898045914," ",0.0976326740768798,NA,1.44635432556339,0.6317,FALSE,NA,NA,NA
"45",45,"Sprat","Pwin","gamm","ar1",65.6470735172302,1.00000001135953,0.347785069348056," ",0.00757960881906194,NA,1.51072890808901,0.7568,FALSE,NA,NA,NA
"46",46,"Sprat","Nwin","gamm","ar1",66.1867408186031,1.00000001407884,0.543282452882361," ",-0.0439534726630979,NA,1.56004987703191,0.8826,FALSE,NA,NA,NA
"47",47,"Sprat","Fsprat","gamm","ar1",66.4998732503452,1.13980915366182,0.813417782035388," ",-0.070204717964351,NA,1.46328576455329,0.7595,FALSE,NA,NA,NA
"48",48,"Sprat","Fher","gamm","ar2",60.4388167203942,3.84802259937594,6.6633688486696e-05,"***",0.364012960400958,NA,2.4347058660339,0.4471,FALSE,0,200,TRUE
"49",49,"Sprat","Fcod","gamm","ar1",63.5778534132628,0.999999992879647,0.092743175248565,".",-0.0170106204102576,NA,2.29683433698624,0.946,FALSE,NA,NA,NA
"50",50,"Herring","Tsum","gam","none",24.5641678729806,1.00000000037526,0.2493204195207," ",0.0147959644524776,0.0526884273723613,0.856442029206592,0.5672,FALSE,NA,NA,NA
"51",51,"Herring","Swin","gam","none",20.5378131165941,3.33738164651484,0.0919758362931084,".",0.212593874936694,0.313665980711296,1.01260779258173,0.8736,FALSE,NA,NA,NA
"52",52,"Herring","Pwin","gam","none",22.541851180356,1.00000000059952,0.0751634350566154,".",0.0858925322331434,0.121050511783716,1.08749280874416,0.9063,FALSE,NA,NA,NA
"53",53,"Herring","Nwin","gam","none",25.3400332901018,1.00000000033036,0.430183347404114," ",-0.0139253058824353,0.0250718212797527,0.934342520270447,0.8877,FALSE,NA,NA,NA
"54",54,"Herring","Fsprat","gam","none",23.4588040396882,1.00000000023683,0.126735510529881," ",0.0543151621361573,0.0906876559087654,0.929944467700906,0.805,FALSE,NA,NA,NA
"55",55,"Herring","Fher","gam","none",26.0232719105041,1.00000000030424,0.963312355224377," ",-0.0399102108529328,8.63357304572627e-05,0.994058844665479,0.9514,FALSE,NA,NA,NA
"56",56,"Herring","Fcod","gam","none",22.0463718377113,1.96055974964728,0.22681408517711," ",0.111787907992588,0.181443623062177,1.03798010558803,0.7629,FALSE,NA,NA,NA
"57",57,"Stickle","Tsum","gamm","ar1",72.5968920732022,0.999999994339232,0.529968704082613," ",-0.010824498458138,NA,4.7229989755319,0.6831,FALSE,NA,NA,NA
"58",58,"Stickle","Swin","gamm","ar1",72.0686337358062,0.999999992193376,0.341544481685687," ",-0.0647430355172016,NA,4.95555175375817,0.9033,FALSE,NA,NA,NA
"59",59,"Stickle","Pwin","gamm","ar1",72.7022026749941,0.999999985245279,0.587095514147467," ",-0.00182008146675194,NA,4.92958326592388,0.7549,FALSE,NA,NA,NA
"60",60,"Stickle","Nwin","gamm","ar1",72.998440980649,1.0000001603618,0.905568211565141," ",-0.0323303079316601,NA,4.82374659088677,0.586,FALSE,NA,NA,NA
"61",61,"Stickle","Fsprat","gamm","ar1",71.720987567173,0.999999964380393,0.264694432421129," ",0.0675993457232008,NA,4.38424125406727,0.2956,FALSE,NA,NA,NA
"62",62,"Stickle","Fher","gamm","ar1",73.0125907629102,1.00000003306686,0.982452221784038," ",-0.0442657831421185,NA,4.85772185152422,0.6543,FALSE,NA,NA,NA
"63",63,"Stickle","Fcod","gamm","ar1",70.2329984271481,1.00000002424103,0.0985854820838855,".",0.161691590468899,NA,5.18721430169409,0.7104,FALSE,NA,NA,NA
"64",64,"Cod","Tsum","gamm","ar1",55.6006941879022,1.59140772823371,0.233453762172553," ",-0.0953123153049,NA,0.887114196328012,0.6972,FALSE,NA,NA,NA
"65",65,"Cod","Swin","gamm","ar1",56.1387208768821,1.00000000469128,0.332384370202871," ",0.0573298715581421,NA,0.881820099848024,0.5689,FALSE,NA,NA,NA
"66",66,"Cod","Pwin","gamm","ar1",56.0938440427272,0.999999963591586,0.302949554182295," ",-0.122185001103425,NA,1.00517558421024,0.3611,FALSE,NA,NA,NA
"67",67,"Cod","Nwin","gamm","ar1",56.8016570922229,0.999999948625726,0.591299531476648," ",-0.0662086592287128,NA,0.786187398025074,0.3752,FALSE,NA,NA,NA
"68",68,"Cod","Fsprat","gamm","ar1",56.4970039128251,0.999999990999479,0.448274260206826," ",-0.0524739567303123,NA,0.881987274716489,0.5543,FALSE,NA,NA,NA
"69",69,"Cod","Fher","gam","none",44.8156562446451,3.91388673811533,5.6068383883293e-05,"***",0.600528177692412,0.663067676395629,3.04987469146588,0.9129,FALSE,0.83,200,TRUE
"70",70,"Cod","Fcod","gam","none",49.3749660896151,2.79294261546517,0.0226187890273996,"*",0.309596782513202,0.386727045232128,1.77819260917988,0.9915,FALSE,0.4,200,TRUE
"71",71,"SPF","Tsum","gam","none",87.8078721393914,1.00000000003749,0.12127273280184," ",0.0842786068212953,0.135152017555353,1.05154884480552,0.9569,FALSE,NA,NA,NA
"72",72,"SPF","Swin","gam","none",88.2182803225046,1.85024550670616,0.316926199652834," ",0.0993456431416845,0.191925180745708,1.09607122418426,0.8546,FALSE,NA,NA,NA
